Id;Id_Organization;Id_User;Heading;Rate;Date_Publishing
1;10;1;Отличная команда и карьерные возможности!;5;10.09.2024
2;10;7;Прекрасный баланс между работой и личной жизнью;5;22.10.2020
6;13;10;Современное оборудование;4;01.01.2022
7;15;11;Справедливая оплата труда и бонусы;4;15.08.2023
9;20;11;Инновационные проекты;5;11.11.2024
10;20;15;Отсутствие прозрачности в управлении;2;11.11.2020
11;25;20;Высокие нагрузки и отсутствие поддержки;1;10.10.2021
12;25;12;Проблемы с коммуникацией внутри команды;3;05.11.2019
13;26;18;Низкая зарплата и отсутствие перспектив;2;11.01.2020
14;28;13;Постоянные задержки зарплаты и бюрократия;1;19.08.2021
16;2;2;Great Service;5;15.06.2024
