Id;Heading;Id_User;Id_oOrganization;Id_Post
14;Требуется менеджер по продажам;7;19;1
15;Открыта вакансия программиста;8;20;2
16;Вакансия маркетолога;9;21;3
17;Требуется администратор офиса;10;22;4
18;Вакансия дизайнера;11;23;5
19;Требуется бухгалтер;12;24;6
21;Работа для аналитика данных;14;26;8
22;Требуется водитель;15;27;9
23;Вакансия инженера;16;28;10
24;Требуется копирайтер;NULL;29;11
25;Вакансия фотографа;18;30;12
26;Требуется курьер;19;31;13
27;Вакансия менеджера проектов;20;32;14
28;Требуется официант;21;33;15
29;Вакансия учителя английского;NULL;34;16
30;Требуется повар;23;35;17
31;Открыта вакансия электрика;24;36;18
32;Вакансия юриста;25;37;19
33;Требуется ассистент руководителя;26;38;20
34;Вакансия логиста;NULL;39;1
35;Работа для IT-специалиста;28;40;2
36;Требуется тренер по фитнесу;29;41;3
37;Вакансия менеджера по работе с клиентами;30;42;4
38;Требуется специалист по закупкам;31;43;5
39;Вакансия специалиста по контекстной рекламе;32;44;6
40;Требуется специалист службы поддержки;33;19;7
41;Открыта вакансия тренера по плаванию;34;20;8
42;update;20;20;1
